"rank","title","album","artist","albumYear","rankOneYearAgo","rankTwoYearsAgo","timestamp","albumArt"
"1883","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1884","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1885","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1886","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1887","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1888","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1889","","","","","","","2024-08-19 19:06:24","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1890","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1891","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1892","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1893","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1894","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1895","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1896","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1897","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1898","","","","","","","2024-08-19 19:05:19","https://images.mediaworks.nz/radio/song/images/_400_.jpg?width=400&height=400&crop=auto"
"1899","Freaks","Secret Samadhi","Live","1997","RE-ENTRY","-","2024-08-19 16:52:26","https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/57/41/33/5741333f-7c8f-d6a9-0d34-6f32f1ff330a/06UMGIM03463.rgb.jpg/600x600bb.jpg"
"1900","Got The Ju","Geographica","Weta","2000","1868","2000","2024-08-19 16:47:22","https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/e1/b3/61/e1b3614a-ecf0-c975-25e2-0814a63f556f/190295060909.jpg/600x600bb.jpg"
"1901","Honky Tonk Woman","Single Only","The Rolling Stones","1969","1529","1945","2024-08-19 16:44:11","https://upload.wikimedia.org/wikipedia/en/d/d3/RollStones-Single1969_HonkyTonkWomen.jpg"
"1902","Over Now","Unplugged","Alice In Chains","1996","RE-ENTRY","-","2024-08-19 16:30:23","https://is1-ssl.mzstatic.com/image/thumb/Music/ff/eb/d8/mzi.wegmszqt.jpg/600x600bb.jpg"
"1903","Landmines","Heaven :x: Hell","Sum 41","2024","DEBUT","-","2024-08-19 16:27:32","https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/db/82/03/db820356-b9c5-19cc-f324-04a304a8ad09/4099964010404.jpg/600x600bb.jpg"
"1904","Don't Bring Me Down","Discovery","Electric Light Orchestra","1979","1566","1811","2024-08-19 16:23:14","https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/ee/c9/73/eec97392-48d6-e9fd-471f-984a37b9a43d/mzm.kgpjmniu.jpg/600x600bb.jpg"
"1905","Most High","Walking into Clarksdale","Robert Plant and Jimmy Page","1998","1869","1130","2024-08-19 16:14:51","https://is1-ssl.mzstatic.com/image/thumb/Music/0c/ba/13/mzi.shcglwpx.jpg/1000x1000bb.jpg"
"1906","Tick Tick Boom","The Black and White Album","The Hives","2007","1954","1498","2024-08-19 16:11:02","https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/19/b8/50/19b85064-cefd-86ca-0f48-ab264b51c801/00602517535800.rgb.jpg/600x600bb.jpg"
"1907","Mmm Mmm Mmm","God Shuffled His Feet","Crash Test Dummies","1993","RE-ENTRY","-","2024-08-19 16:07:31","https://is1-ssl.mzstatic.com/image/thumb/Music/e9/e9/1a/mzi.nipvmkic.jpg/600x600bb.jpg"
"1908","Get Loose","6twenty","The D4","2001","1809","1561","2024-08-19 16:04:43","https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/76/39/42/76394292-8de2-59ec-81aa-1f241f1ac6b6/00720616238825.rgb.jpg/600x600bb.jpg"
"1909","Girl, You'll be a Woman Soon","Stull","Urge Overkill","1992","RE-ENTRY","-","2024-08-19 16:00:44","https://m.media-amazon.com/images/M/MV5BYTc4MzczNzMtYjg3YS00NWFmLThiZmQtZjI5YTFjNGI4MDdlXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_.jpg"
"1910","Vitamin R (Leading Us Along)","This Type of Thinking (Could Do Us In)","Chevelle","2004","1910","1257","2024-08-19 15:47:41","https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/35/74/5f/35745f9d-8a40-0cb4-6fc9-c139dafd5d9b/696998690820.jpg/600x600bb.jpg"
"1911","Don't Speak","Tragic Kingdom","No Doubt","1995","RE-ENTRY","-","2024-08-19 15:43:46","https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/fe/0a/68/fe0a687a-537e-e902-0778-90465c118f77/00602547870575.rgb.jpg/600x600bb.jpg"
"1912","Roll With It","(What's the Story) Morning Glory?","Oasis","1995","1908","1891","2024-08-19 15:39:29","https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/04/92/e0/0492e08b-cbcc-9969-9ad6-8f5a0888068c/5051961007107.jpg/600x600bb.jpg"
"1913","Feel Good Drag","Never Take Friendship Personal","Anberlin","2005","1329","1264","2024-08-19 15:29:46","https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/d9/05/64/d9056461-d728-43c8-f677-7b6a979630bf/00724386660756.rgb.jpg/600x600bb.jpg"
"1914","Crazy Crazy Nights","Crazy Nights","Kiss","1987","1928","1704","2024-08-19 15:26:03","https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/f8/27/8c/f8278cdf-5c2f-a026-fdb8-9f5b40303a67/00602537855865.rgb.jpg/600x600bb.jpg"
"1915","The Fly","Achtung Baby","U2","1991","RE-ENTRY","-","2024-08-19 15:21:05","https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/fe/5e/4f/fe5e4f79-c74f-c39e-39dc-4c8a952b9665/17UMGIM98829.rgb.jpg/600x600bb.jpg"
"1916","Don't Tell Me (What Love Can Do)","Balance","Van Halen","1995","1984","992","2024-08-19 15:13:43","https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/c5/0f/97/c50f9765-f288-3699-4b43-60ff65e4de98/mzi.ckxplkjm.jpg/600x600bb.jpg"
"1917","Heartstop","A Muse","Banks Arcade","2024","DEBUT","-","2024-08-19 15:09:21","https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/bd/64/b1/bd64b1aa-adae-590b-a5f3-4de398ca0db2/198391474606.png/600x600bb.jpg"
"1918","Surrender","Heaven Tonight","Cheap Trick","1978","1806","1766","2024-08-19 15:03:18","https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/73/6f/90/736f9058-ea36-6cef-960d-b60473bbcfaf/886445393415.jpg/600x600bb.jpg"
"1919","No Reason","New Detention","Grinspoon","2002","RE-ENTRY","-","2024-08-19 14:59:40","https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/80/23/cd/8023cdf7-688c-c345-bd07-0446371640b6/00602547654885.rgb.jpg/600x600bb.jpg"
"1920","Lookin' Out My Back Door","Cosmo's Factory","Creedence Clearwater Revival","1970","1857","1141","2024-08-19 14:51:12","https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/f3/81/ca/f381ca2b-0779-4102-2c64-8b2563eedb96/00888072355996.rgb.jpg/600x600bb.jpg"
"1921","West End Riot","The Living End","The Living End","1999","1991","1131","2024-08-19 14:47:20","https://is1-ssl.mzstatic.com/image/thumb/Music/c2/b7/c5/mzi.ntqdolxl.jpg/600x600bb.jpg"
"1922","My Generation","My Generation","The Who","1965","RE-ENTRY","-","2024-08-19 14:44:06","https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/7b/40/de/7b40de18-d72a-8157-4a04-1f5d91b2f586/06UMGIM12606.rgb.jpg/600x600bb.jpg"
"1923","More Than You Know","One More Time...","Blink 182","2023","DEBUT","-","2024-08-19 14:36:39","https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/0b/44/57/0b4457d2-b908-6eb6-0a17-a622d0913200/dj.rbgfyxfg.jpg/600x600bb.jpg"
"1924","The Jean Genie","Aladdin Sane","David Bowie","1973","1794","1720","2024-08-19 14:31:44","https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/32/aa/3e/32aa3eeb-830e-e378-dd40-ac2b701066d8/825646123582.jpg/600x600bb.jpg"
"1925","Diamonds On The Inside","Diamonds On The Inside","Ben Harper","2003","RE-ENTRY","-","2024-08-19 14:27:06","https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Ben_Harper_FIJM_2003.jpg/242px-Ben_Harper_FIJM_2003.jpg"
"1926","Shark Attack","True Colours","Split Enz","1980","1892","877","2024-08-19 14:23:51","https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/33/45/fc/3345fcf5-ba8c-f076-b13d-863d1efb76d1/18UMGIM40846.rgb.jpg/600x600bb.jpg"
"1927","All Summer Long","Rock n Roll Jesus","Kid Rock","2008","RE-ENTRY","-","2024-08-19 14:18:45","https://upload.wikimedia.org/wikipedia/en/0/0a/Single_All_Summer_Long_cover.jpg"
"1928","Black Velvet","Alannah Myles","Alannah Myles","1989","RE-ENTRY","-","2024-08-19 14:13:55","https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/2b/48/9b/2b489bc2-92ba-a33b-ec8d-b07c596567a9/mzi.aoxrflhk.jpg/600x600bb.jpg"
"1929","Too Much Ain't Enough Love","Freight Train Heart","Jimmy Barnes","1987","1871","1961","2024-08-19 14:08:06","https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/e8/c8/22/e8c822a6-ad0e-94f5-f324-5eb6e0638b23/Freight_Train_Heart.jpg/600x600bb.jpg"
"1930","Slide","Dizzy Up the Girl","Goo Goo Dolls","1998","RE-ENTRY","-","2024-08-19 14:04:52","https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/13/18/2c131801-00af-58b1-3cc2-13abf4ad5416/093624919162.jpg/600x600bb.jpg"
"1931","A Perfect Storm","Volume 2","Blindspott","2022","DEBUT","-","2024-08-19 14:00:29","https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/7e/02/7c/7e027c04-58b8-6ec4-a940-5a5e3ca4ea5f/9420076402125.png/600x600bb.jpg"
"1932","Everybody Hurts","Automatic For The People","R.E.M.","1992","1901","1201","2024-08-19 13:50:58","https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/fb/d9/e2/fbd9e203-818c-06cf-405d-8906f2eae6ec/00888072396258.rgb.jpg/600x600bb.jpg"
"1933","Almost Honest","Cryptic Writings","Megadeth","1997","1927","1325","2024-08-19 13:47:09","https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/24/63/98/246398d8-735b-3c6c-cdba-ca4c8b4fe5cd/00724359862552.rgb.jpg/600x600bb.jpg"
"1934","Blind","The Buddhafinger","Tadpole","2000","RE-ENTRY","-","2024-08-19 13:44:18","https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/e2/1c/59/e21c59ca-a09a-4dc5-0605-5d03fd283964/9421011165006.png/600x600bb.jpg"
"1935","She Builds Quick Machines","Libertad","Velvet Revolver","2007","1975","1876","2024-08-19 13:35:26","https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/69/d3/c9/69d3c98a-c03e-f0ac-ecc0-dccce1590b76/mzi.ivgabvqb.jpg/600x600bb.jpg"
"1936","Road Trippin'","Californication","Red Hot Chili Peppers","1999","1898","1034","2024-08-19 13:32:06","https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/4c/86/1d/4c861dab-5428-f3b7-8068-82bb69db5e89/093624932130.jpg/600x600bb.jpg"
"1937","Amazing","Get a Grip","Aerosmith","1993","RE-ENTRY","-","2024-08-19 13:25:52","https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/8b/04/87/8b048775-ed10-439d-18a6-5ecb21effcf8/06UMGIM14760.rgb.jpg/600x600bb.jpg"
"1938","Waiting Room","Fugazi EP","Fugazi","1988","1233","1935","2024-08-19 13:22:06","https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/Fugazi_-_Fugazi_cover.jpg/220px-Fugazi_-_Fugazi_cover.jpg"
"1939","Like A Bird","Alcohol Fueled Brewtality Live! (Live)","Black Label Society","2001","RE-ENTRY","1854","2024-08-19 13:17:33","https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/02/51/12/0251129c-c971-700d-4bcc-bba4e55f31b9/634164603823.jpg/600x600bb.jpg"
"1940","Stay","End The Silence","Blindspott","2006","1827","1591","2024-08-19 13:15:11","https://is1-ssl.mzstatic.com/image/thumb/Music/a4/f7/7f/mzi.tzpszfzm.tif/600x600bb.jpg"
"1941","While My Guitar Gently Weeps","Hell To Pay","Jeff Healey Band","1990","1936","1781","2024-08-19 13:09:18","https://is1-ssl.mzstatic.com/image/thumb/Features/c0/46/84/dj.axsbofxk.jpg/600x600bb.jpg"
"1942","Bliss","Origin of Symmetry","Muse","2001","RE-ENTRY","-","2024-08-19 13:05:40","https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/0c/c8/0b/0cc80b73-aa09-492d-4fcc-984cab29acfa/825646096909.jpg/600x600bb.jpg"
"1943","Listen To The Music","Toulouse Street","The Doobie Brothers","1972","1968","1377","2024-08-19 13:01:02","https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/d5/ce/39/d5ce3991-f455-179b-51bb-8292ae035a1a/603497878246.jpg/600x600bb.jpg"
"1944","Astronaut","Playground Battle","The Feelers","2003","1189","1361","2024-08-19 12:52:23","https://is1-ssl.mzstatic.com/image/thumb/Features/v4/fe/45/c1/fe45c1f2-2b3b-3079-971f-044e604ca477/dj.uqwbwvmx.jpg/600x600bb.jpg"
"1945","Humans Being","Twister","Van Halen","1996","RE-ENTRY","1063","2024-08-19 12:47:30","https://i.scdn.co/image/ab67616d0000b2738928b7423d71d1e1132c03e6"
"1946","Loose Change","Royal Blood","Royal Blood","2014","1247","1274","2024-08-19 12:44:43","https://d94thh4m1x8qv.cloudfront.net/eyJidWNrZXQiOiJkaXktbWFnYXppbmUiLCJrZXkiOiJkL2RpeS9BcnRpc3RzL1IvUm95YWwtQmxvb2QvMjAxNFJveWFsQmxvb2RfUm95YWxCbG9vZF8zMTA3MTQtMS5qcGciLCJlZGl0cyI6eyJqcGVnIjp7InF1YWxpdHkiOjgyLCJwcm9ncmVzc2l2ZSI6dHJ1ZSwidHJlbGxpc1F1YW50aXNhdGlvbiI6dHJ1ZSwib3ZlcnNob290RGVyaW5naW5nIjp0cnVlLCJvcHRpbWl6ZVNjYW5zIjp0cnVlfSwicmVzaXplIjp7IndpZHRoIjoxNTAwLCJoZWlnaHQiOjE1MDAsImZpdCI6ImNvdmVyIn0sInNoYXJwZW4iOnRydWV9fQ=="
"1947","Desperado","Desperado","The Eagles","1973","RE-ENTRY","-","2024-08-19 12:37:08","https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/f5/ef/50/f5ef504b-c66a-6645-621c-c279468cc28f/075596062725.jpg/600x600bb.jpg"
"1948","Supersoaker","Mechanical Bull","Kings Of Leon","2013","RE-ENTRY","-","2024-08-19 12:33:21","https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/07/ae/f4/07aef449-241e-fca0-028f-cc71fe65db52/886444064361.jpg/600x600bb.jpg"
"1949","Ride The Night Away","For the Working Class Man","Jimmy Barnes","1985","1923","1985","2024-08-19 12:29:02","https://is1-ssl.mzstatic.com/image/thumb/Music6/v4/d5/5d/7f/d55d7f36-b2f0-3efb-7456-deaba378b422/Working_Class_Man.jpg/600x600bb.jpg"
"1950","Father Of Mine","So Much for the Afterglow","Everclear","1997","RE-ENTRY","-","2024-08-19 12:23:57","https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/68/16/40/681640ff-5593-7c26-e231-138e7237e857/00602557471434.rgb.jpg/600x600bb.jpg"
"1951","Art for Arts Sake","How Dare You!","10CC","1976","RE-ENTRY","-","2024-08-19 12:18:27","https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/39/16/1a/39161a0b-1dc1-ecde-25f8-67da925d1eef/00731453497528.rgb.jpg/600x600bb.jpg"
"1952","Evil","Antics","Interpol","2004","RE-ENTRY","-","2024-08-19 12:14:35","https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/e2/87/db/e287db59-3fa5-3970-c881-a254381c08c5/744861061663.png/600x600bb.jpg"
"1953","Riff Raff","Powerage","AC/DC","1978","1960","1995","2024-08-19 12:08:40","https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/ff/d2/5c/ffd25c4b-28f6-e3e0-428a-093e45ff5e53/886443673465.jpg/600x600bb.jpg"
"1954","Anastasia","Apocalyptic Love","Slash ft Myles Kennedy and The Conspirators","2012","RE-ENTRY","-","2024-08-19 12:05:07","https://upload.wikimedia.org/wikipedia/en/1/12/Apocalyptic_Love.jpg"
"1955","Hot Blooded","Double Vision","Foreigner","1978","1802","1907","2024-08-19 12:01:00","https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/98/46/0f/98460fb8-9dae-89b7-6196-325187c6a84b/603497979769.jpg/600x600bb.jpg"
"1956","No Ordinary Thing","You Are Here","Opshop","2004","1833","1402","2024-08-19 11:51:12","https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/bd/4b/e1/bd4be1df-921b-aca7-b358-cacc8f995186/9421900766437.png/600x600bb.jpg"
"1957","Plastic Boxes","As Above, So Below","Highly Suspect","2024","DEBUT","-","2024-08-19 11:47:03","https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/17/73/72/177372ff-aae0-5ff0-e874-3d77da0e8dfa/075679662194.jpg/600x600bb.jpg"
"1958","The Wind Cries Mary","Single Only","Jimi Hendrix","1967","1942","1244","2024-08-19 11:43:24","https://upload.wikimedia.org/wikipedia/en/b/b9/The_Wind_Cries_Mary_cover.jpg"
"1959","Sticks & Stones","Sticks & Stones","The Boondocks","2024","DEBUT","-","2024-08-19 11:35:29","https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/b2/99/3d/b2993db6-ca46-16c1-32c2-302758385f03/9420076434393.png/600x600bb.jpg"
"1960","Young Americans","Young Americans","David Bowie","1975","1972","1020","2024-08-19 11:30:28","https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/0a/a7/0c/0aa70c09-e325-3900-6a5e-1557ff7ce710/190295990329.jpg/600x600bb.jpg"
"1961","One Will Hear The Other","Beautiful Machine","Shihad","2008","1711","1267","2024-08-19 11:26:48","https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/cf/cc/f8/cfccf8fb-f48f-60c9-88b0-2a95c2769f40/085365730595.jpg/600x600bb.jpg"
"1962","Cradle Of Love","Charmed Life","Billy Idol","1990","RE-ENTRY","-","2024-08-19 11:22:02","https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/88/41/55/884155f5-419e-3cfb-05c9-75e8c76b297f/00602557363296.rgb.jpg/600x600bb.jpg"
"1963","The Wicker Man","Brave New World","Iron Maiden","2000","625","968","2024-08-19 11:17:00","https://is1-ssl.mzstatic.com/image/thumb/Music117/v4/ae/88/8f/ae888f8e-3b42-b3cb-b06b-e299fada94da/4050538293180.jpg/600x600bb.jpg"
"1964","Velcro Fly","Afterburner","ZZ Top","1985","1494","1697","2024-08-19 11:13:38","https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/38/68/f3/3868f384-e4df-1732-0dd9-0befdf60ff46/0603497921393.jpg/600x600bb.jpg"
"1965","What You Are","Audioslave","Audioslave","2002","RE-ENTRY","-","2024-08-19 11:08:12","https://is1-ssl.mzstatic.com/image/thumb/Features115/v4/9c/b6/c2/9cb6c246-3626-7789-26a9-79b787e5668d/dj.owymmnty.jpg/600x600bb.jpg"
"1966","No Secrets","Dark Room","The Angels","1980","1318","1757","2024-08-19 11:04:04","https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/52/ac/9c/52ac9c3d-0926-b94f-95e5-8a8146276c3a/22UMGIM28484.rgb.jpg/600x600bb.jpg"
"1967","Back Foot","Celebrity Mansions","Dinosaur Pile-Up","2019","RE-ENTRY","-","2024-08-19 11:01:12","https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/c9/48/4b/c9484bf9-0a0d-a317-7129-b7a567e48c0d/190295449049.jpg/600x600bb.jpg"
"1968","Get It On","Electric Warrior","T. Rex","1971","1461","1969","2024-08-19 10:51:53","https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/cb/1b/d3/cb1bd3a2-5c01-2ad8-8adb-f9389a7b38bd/dj.rkagqetp.jpg/600x600bb.jpg"
